id,category,name,level,period,image_path
1,バックエンド,Python,3,1年以上~3年未満,
2,バックエンド,VB.NET,4,3年以上~5年未満,
3,バックエンド,Java,1,半年未満,
4,バックエンド,PHP,1,半年未満,
5,フロントエンド,JavaScript,2,1年以上~3年未満,
6,フロントエンド,CSS,3,1年以上~3年未満,
7,フロントエンド,HTML,2,1年以上~3年未満,
8,フレームワーク,BootStrap,3,1年以上~3年未満,
9,フレームワーク,Django,2,1年以上~3年未満,
10,フレームワーク,REST API,1,半年以上~1年未満,
11,フレームワーク,FastAPI,1,半年以上~1年未満,
12,フレームワーク,ASP.NET,3,3年以上~5年未満,
13,クラウド,Azure,3,1年以上~3年未満,
14,データベース,SQLServer,3,3年以上~5年未満,
15,データベース,Oracle,1,半年未満,
16,データベース,POSTGRESQL,2,半年以上~1年未満,
17,コンポーネントライブラリ,SPREAD,4,1年以上~3年未満,
18,ETLツール,SSIS,1,半年未満,
19,コンテナ/仮想化,Docker,3,1年以上~3年未満,
20,コンテナ/仮想化,VMWare,1,半年未満,
21,WEBサーバ,IIS,1,半年未満,
22,管理ツール,Backlog,4,1年以上~3年未満,
23,管理ツール,Git,4,3年以上~5年未満,
24,管理ツール,Github,3,1年以上~3年未満,
25,OS,Windows,3,1年以上~3年未満,
26,OS,Linux,3,1年以上~3年未満,
27,OS,CentOs,2,半年以上~1年未満,
