id,name,description_1,description_2,description_3,description_4,description_5
1,Python,Streamlitを用いたインタラクティブなデータ可視化アプリの開発,pytestを利用したユニットテストの実施によるコード品質の向上,Pandasライブラリによるデータ処理と分析の実施,,
2,VB.NET,VB.NETを使用した業務アプリケーションの開発と保守,Windows FormsおよびWPFによるユーザーインターフェースの設計,,,
3,Java,Javaを用いた既存システムの移行プロジェクトに参加,,,,
4,PHP,卒業研究における独自システムの開発と成果発表,,,,
5,HTML,Djangoテンプレートを利用した動的HTMLの生成,,,,
6,CSS,CCS技術の設計と実装経験,,,,
7,ASP.NET,ASP.NETを使用してWebアプリケーションの開発を実施し、基本的な機能を実装,MVCパターンを理解し、モデル、ビュー、コントローラーの役割を活用,,,
8,React,,,,,
9,JavaScript,イベントハンドリングを活用し、ユーザーの操作に応じたインタラクティブな機能を追加,JavaScriptを使用して、基本的な関数や制御構文を理解し、実装,,,
10,BootStrap,Bootstrapを使用してレスポンシブなWebデザインを迅速に実装,ドキュメントを参考にしながら、各種コンポーネント（ナビゲーションバー、フォーム、モーダルなど）を効果的に活,グリッドシステムを利用して、さまざまなデバイスに対応したレイアウトを構築,,
11,SPREAD,VB.NETを用いてSPREADを活用し、リアルタイムデータの表示と操作を実装,SPREADのUIコンポーネントをカスタマイズし、ユーザーエクスペリエンスを向上,,,
12,SSIS,SSISを使用してデータのETL（抽出、変換、読み込み）プロセスを設計・実装,,,,
13,Docker,Dockerを活用してローカル開発環境を構築し、コンテナ化されたアプリケーションの開発を推進,Dockerfileを作成し、アプリケーションのビルドプロセスを最適化,Docker Composeを使用して複数のサービスのオーケストレーションを実施し、開発効率を向上,Azure上にDockerを組み込み、クラウド環境でのデプロイとスケーリングを実現,
14,VMWare,VMwareを使用して仮想環境を構築し、リソースの効率的な管理,,,,
15,IIS,IIS（Internet Information Services）を使用してWebアプリケーションのホスティングと管理を実施,,,,
16,TEAMS,,,,,
17,ZOOM,,,,,
18,Slack,,,,,
19,Backlog,Backlogを使用してプロジェクト管理を行い、タスクの可視化と進捗管理,スプリント計画やタスクの優先順位付けを通じて、チームの効率的な作業を促進,,,
20,Git,ブランチ管理を活用し、並行開発や機能追加を円滑に実施,コミットメッセージのルールを遵守し、コード変更の意図を明確に伝達,,,
21,Github,プルリクエストを通じてコードレビューを実施し、品質向上に貢献,GitHub Actionsを利用してAzureへの自動デプロイを設定し、リリースプロセスを効率化,,,
22,Django,Djangoを使用してWebアプリケーションの基礎を学習し、実装,テンプレートエンジンを活用し、動的なコンテンツのレンダリングを実現,DjangoのORMを用いてデータベースとの連携を行い、データの取得および操作を効率化,カスタムテンプレートタグを作成し、再利用性の高いコードを構築,
23,REST API,,,,,
24,FastAPI,,,,,
25,A5:SQL,,,,,
26,VSCode,拡張機能を利用して開発環境をカスタマイズし、効率的なコーディングを実現,GitHubとの連携を通じて、バージョン管理やプルリクエストのレビューを行い、チームの協力を促進,,,
27,VS,VB.NETおよびASP.NETのアプリケーション開発,,,,
28,SQLServer,SQL Serverを使用したデータベースの設計、実装、管理,パフォーマンスチューニングを行い、クエリの最適化を通じてシステムの応答速度を向上,ビューやストアドプロシージャを活用し、データの取得や処理を効率化,,
29,Oracle,Oracleデータベースに関する基礎知識を習得,,,,
30,POSTGRESQL,CentOS 7環境におけるPostgreSQLデータベースのインストールと設定を担当,,,,
31,Windows,,,,,
32,Linux,Ubuntuをベースにしたローカル開発環境の構築,,,,
33,CentOs,CentOS 7を使用したローカル開発環境の構築をリード,,,,
34,Azure,Azure環境におけるアプリケーションのデプロイメント及び管理を実施,環境変数の設定を通じて、アプリケーションの構成を柔軟に対応,Github連携を実施し、自動デプロイ化,,
